INFO     - 2023-08-15 20:40:13,498, Функция: named_tuple с атрибутами (('msgpack', 'dir', '_vendor'), {}). Результат: Path(name='msgpack', ext='d', root='_vendor')
INFO     - 2023-08-15 20:40:13,498, Функция: named_tuple с атрибутами (('vendor', 't', '_vendor'), {}). Результат: Path(name='vendor', ext='t', root='_vendor')
INFO     - 2023-08-15 20:40:13,498, Функция: named_tuple с атрибутами (('resolvelib', 'dir', '_vendor'), {}). Результат: Path(name='resolvelib', ext='d', root='_vendor')
INFO     - 2023-08-15 20:40:13,498, Функция: named_tuple с атрибутами (('six', 'p', '_vendor'), {}). Результат: Path(name='six', ext='p', root='_vendor')
INFO     - 2023-08-15 20:40:13,498, Функция: named_tuple с атрибутами (('__pycache__', 'dir', 'webencodings'), {}). Результат: Path(name='__pycache__', ext='d', root='webencodings')
INFO     - 2023-08-15 20:40:13,498, Функция: named_tuple с атрибутами (('__init__', 'p', 'webencodings'), {}). Результат: Path(name='__init__', ext='p', root='webencodings')
INFO     - 2023-08-15 20:40:13,498, Функция: named_tuple с атрибутами (('util', 'dir', 'urllib3'), {}). Результат: Path(name='util', ext='d', root='urllib3')
INFO     - 2023-08-15 20:40:13,499, Функция: named_tuple с атрибутами (('exceptions', 'p', 'urllib3'), {}). Результат: Path(name='exceptions', ext='p', root='urllib3')
INFO     - 2023-08-15 20:40:13,499, Функция: named_tuple с атрибутами (('contrib', 'dir', 'urllib3'), {}). Результат: Path(name='contrib', ext='d', root='urllib3')
INFO     - 2023-08-15 20:40:13,499, Функция: named_tuple с атрибутами (('response', 'p', 'urllib3'), {}). Результат: Path(name='response', ext='p', root='urllib3')
INFO     - 2023-08-15 20:40:13,499, Функция: named_tuple с атрибутами (('__pycache__', 'dir', 'urllib3'), {}). Результат: Path(name='__pycache__', ext='d', root='urllib3')
INFO     - 2023-08-15 20:40:13,499, Функция: named_tuple с атрибутами (('_version', 'p', 'urllib3'), {}). Результат: Path(name='_version', ext='p', root='urllib3')
INFO     - 2023-08-15 20:40:13,499, Функция: named_tuple с атрибутами (('packages', 'dir', 'urllib3'), {}). Результат: Path(name='packages', ext='d', root='urllib3')
INFO     - 2023-08-15 20:40:13,499, Функция: named_tuple с атрибутами (('__init__', 'p', 'urllib3'), {}). Результат: Path(name='__init__', ext='p', root='urllib3')
INFO     - 2023-08-15 20:40:13,500, Функция: named_tuple с атрибутами (('__pycache__', 'dir', 'util'), {}). Результат: Path(name='__pycache__', ext='d', root='util')
INFO     - 2023-08-15 20:40:13,500, Функция: named_tuple с атрибутами (('ssltransport', 'p', 'util'), {}). Результат: Path(name='ssltransport', ext='p', root='util')
INFO     - 2023-08-15 20:40:13,500, Функция: named_tuple с атрибутами (('_securetransport', 'dir', 'contrib'), {}). Результат: Path(name='_securetransport', ext='d', root='contrib')
INFO     - 2023-08-15 20:40:13,500, Функция: named_tuple с атрибутами (('socks', 'p', 'contrib'), {}). Результат: Path(name='socks', ext='p', root='contrib')
INFO     - 2023-08-15 20:40:13,500, Функция: named_tuple с атрибутами (('__pycache__', 'dir', 'contrib'), {}). Результат: Path(name='__pycache__', ext='d', root='contrib')
INFO     - 2023-08-15 20:40:13,500, Функция: named_tuple с атрибутами (('securetransport', 'p', 'contrib'), {}). Результат: Path(name='securetransport', ext='p', root='contrib')
INFO     - 2023-08-15 20:40:13,500, Функция: named_tuple с атрибутами (('backports', 'dir', 'packages'), {}). Результат: Path(name='backports', ext='d', root='packages')
INFO     - 2023-08-15 20:40:13,501, Функция: named_tuple с атрибутами (('__init__', 'p', 'packages'), {}). Результат: Path(name='__init__', ext='p', root='packages')
INFO     - 2023-08-15 20:40:13,501, Функция: named_tuple с атрибутами (('ssl_match_hostname', 'dir', 'packages'), {}). Результат: Path(name='ssl_match_hostname', ext='d', root='packages')
INFO     - 2023-08-15 20:40:13,501, Функция: named_tuple с атрибутами (('six', 'p', 'packages'), {}). Результат: Path(name='six', ext='p', root='packages')
INFO     - 2023-08-15 20:40:13,501, Функция: named_tuple с атрибутами (('__pycache__', 'dir', 'ssl_match_hostname'), {}). Результат: Path(name='__pycache__', ext='d', root='ssl_match_hostname')
INFO     - 2023-08-15 20:40:13,501, Функция: named_tuple с атрибутами (('_implementation', 'p', 'ssl_match_hostname'), {}). Результат: Path(name='_implementation', ext='p', root='ssl_match_hostname')
INFO     - 2023-08-15 20:40:13,501, Функция: named_tuple с атрибутами (('metadata', 'dir', 'chardet'), {}). Результат: Path(name='metadata', ext='d', root='chardet')
INFO     - 2023-08-15 20:40:13,501, Функция: named_tuple с атрибутами (('cp949prober', 'p', 'chardet'), {}). Результат: Path(name='cp949prober', ext='p', root='chardet')
INFO     - 2023-08-15 20:40:13,502, Функция: named_tuple с атрибутами (('__pycache__', 'dir', 'chardet'), {}). Результат: Path(name='__pycache__', ext='d', root='chardet')
INFO     - 2023-08-15 20:40:13,502, Функция: named_tuple с атрибутами (('hebrewprober', 'p', 'chardet'), {}). Результат: Path(name='hebrewprober', ext='p', root='chardet')
INFO     - 2023-08-15 20:40:13,502, Функция: named_tuple с атрибутами (('cli', 'dir', 'chardet'), {}). Результат: Path(name='cli', ext='d', root='chardet')
INFO     - 2023-08-15 20:40:13,502, Функция: named_tuple с атрибутами (('sbcharsetprober', 'p', 'chardet'), {}). Результат: Path(name='sbcharsetprober', ext='p', root='chardet')
INFO     - 2023-08-15 20:40:13,502, Функция: named_tuple с атрибутами (('__pycache__', 'dir', 'msgpack'), {}). Результат: Path(name='__pycache__', ext='d', root='msgpack')
INFO     - 2023-08-15 20:40:13,502, Функция: named_tuple с атрибутами (('exceptions', 'p', 'msgpack'), {}). Результат: Path(name='exceptions', ext='p', root='msgpack')
INFO     - 2023-08-15 20:40:13,503, Функция: named_tuple с атрибутами (('compat', 'dir', 'resolvelib'), {}). Результат: Path(name='compat', ext='d', root='resolvelib')
INFO     - 2023-08-15 20:40:13,503, Функция: named_tuple с атрибутами (('resolvers', 'p', 'resolvelib'), {}). Результат: Path(name='resolvers', ext='p', root='resolvelib')
INFO     - 2023-08-15 20:40:13,503, Функция: named_tuple с атрибутами (('__pycache__', 'dir', 'resolvelib'), {}). Результат: Path(name='__pycache__', ext='d', root='resolvelib')
INFO     - 2023-08-15 20:40:13,503, Функция: named_tuple с атрибутами (('structs', 'p', 'resolvelib'), {}). Результат: Path(name='structs', ext='p', root='resolvelib')
INFO     - 2023-08-15 20:40:13,503, Функция: named_tuple с атрибутами (('__pycache__', 'dir', 'compat'), {}). Результат: Path(name='__pycache__', ext='d', root='compat')
INFO     - 2023-08-15 20:40:13,503, Функция: named_tuple с атрибутами (('collections_abc', 'p', 'compat'), {}). Результат: Path(name='collections_abc', ext='p', root='compat')
INFO     - 2023-08-15 20:40:13,504, Функция: named_tuple с атрибутами (('__pycache__', 'dir', 'colorama'), {}). Результат: Path(name='__pycache__', ext='d', root='colorama')
INFO     - 2023-08-15 20:40:13,504, Функция: named_tuple с атрибутами (('initialise', 'p', 'colorama'), {}). Результат: Path(name='initialise', ext='p', root='colorama')
INFO     - 2023-08-15 20:40:13,504, Функция: named_tuple с атрибутами (('__pycache__', 'dir', 'platformdirs'), {}). Результат: Path(name='__pycache__', ext='d', root='platformdirs')
INFO     - 2023-08-15 20:40:13,504, Функция: named_tuple с атрибутами (('__main__', 'p', 'platformdirs'), {}). Результат: Path(name='__main__', ext='p', root='platformdirs')
INFO     - 2023-08-15 20:40:13,504, Функция: named_tuple с атрибутами (('__pycache__', 'dir', 'tenacity'), {}). Результат: Path(name='__pycache__', ext='d', root='tenacity')
INFO     - 2023-08-15 20:40:13,504, Функция: named_tuple с атрибутами (('before', 'p', 'tenacity'), {}). Результат: Path(name='before', ext='p', root='tenacity')
INFO     - 2023-08-15 20:40:13,505, Функция: named_tuple с атрибутами (('__pycache__', 'dir', 'requests'), {}). Результат: Path(name='__pycache__', ext='d', root='requests')
INFO     - 2023-08-15 20:40:13,505, Функция: named_tuple с атрибутами (('_internal_utils', 'p', 'requests'), {}). Результат: Path(name='_internal_utils', ext='p', root='requests')
INFO     - 2023-08-15 20:40:13,505, Функция: named_tuple с атрибутами (('caches', 'dir', 'cachecontrol'), {}). Результат: Path(name='caches', ext='d', root='cachecontrol')
INFO     - 2023-08-15 20:40:13,505, Функция: named_tuple с атрибутами (('adapter', 'p', 'cachecontrol'), {}). Результат: Path(name='adapter', ext='p', root='cachecontrol')
INFO     - 2023-08-15 20:40:13,505, Функция: named_tuple с атрибутами (('__pycache__', 'dir', 'cachecontrol'), {}). Результат: Path(name='__pycache__', ext='d', root='cachecontrol')
INFO     - 2023-08-15 20:40:13,505, Функция: named_tuple с атрибутами (('serialize', 'p', 'cachecontrol'), {}). Результат: Path(name='serialize', ext='p', root='cachecontrol')
INFO     - 2023-08-15 20:40:13,506, Функция: named_tuple с атрибутами (('__pycache__', 'dir', 'caches'), {}). Результат: Path(name='__pycache__', ext='d', root='caches')
INFO     - 2023-08-15 20:40:13,506, Функция: named_tuple с атрибутами (('file_cache', 'p', 'caches'), {}). Результат: Path(name='file_cache', ext='p', root='caches')
INFO     - 2023-08-15 20:40:13,506, Функция: named_tuple с атрибутами (('__pycache__', 'dir', 'progress'), {}). Результат: Path(name='__pycache__', ext='d', root='progress')
INFO     - 2023-08-15 20:40:13,506, Функция: named_tuple с атрибутами (('bar', 'p', 'progress'), {}). Результат: Path(name='bar', ext='p', root='progress')
INFO     - 2023-08-15 20:40:13,506, Функция: named_tuple с атрибутами (('__pycache__', 'dir', 'certifi'), {}). Результат: Path(name='__pycache__', ext='d', root='certifi')
INFO     - 2023-08-15 20:40:13,506, Функция: named_tuple с атрибутами (('__main__', 'p', 'certifi'), {}). Результат: Path(name='__main__', ext='p', root='certifi')
INFO     - 2023-08-15 20:40:13,507, Функция: named_tuple с атрибутами (('_backport', 'dir', 'distlib'), {}). Результат: Path(name='_backport', ext='d', root='distlib')
INFO     - 2023-08-15 20:40:13,507, Функция: named_tuple с атрибутами (('scripts', 'p', 'distlib'), {}). Результат: Path(name='scripts', ext='p', root='distlib')
